Table 4-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"U.S. citizen and permanent resident research doctorate recipients with graduate education-related debt, by ethnicity, race, and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,,,,,,
"Ethnicity, race, and debt level",All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
U.S. citizens and permanent residents reporting graduate debt,,,,,,,,,,,,,,,,,,,
Total (number)a,33593,25633,717,6739,764,4303,750,1811,893,769,2988,2925,2974,7960,608,3065,2356,547,1384
"Debt > $30,000 (%)",19.8,16.1,17.2,10.9,9.3,6.8,7.7,38.7,4.4,14.4,5.3,37.7,24.7,31.6,23.8,37.3,25,24.9,35.9
"Debt > $70,000 (%)",11.7,9.3,8.2,5.4,4.8,2.7,3.6,23.5,1.8,7.8,2.3,26.2,14.9,19.5,16.8,23.1,14.5,15.7,22.7
Hispanic or Latino,,,,,,,,,,,,,,,,,,,
Total (number)a,3246,2460,61,695,44,389,57,153,61,71,280,327,322,786,36,331,239,47,133
"Debt > $30,000 (%)",24.3,20.8,D,13.7,15.9,9.3,19.3,43.1,D,15.5,10.7,45.3,29.8,35.4,44.4,40.8,27.6,19.1,39.1
"Debt > $70,000 (%)",15.5,13.4,D,7.5,D,4.4,10.5,29.4,D,8.5,5.7,33.9,20.8,22.1,D,26.3,D,D,22.6
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,,,,,,,,,,,,,,,,,,,
Total (number)a,94,58,D,11,D,D,D,9,0,D,D,8,15,36,D,21,8,D,D
"Debt > $30,000 (%)",33,31,D,D,0,0,0,D,-,0,D,D,46.7,36.1,0,D,D,0,0
"Debt > $70,000 (%)",16,D,0,0,0,0,0,D,-,0,D,D,D,D,0,D,D,0,0
Asian,,,,,,,,,,,,,,,,,,,
Total (number)a,3688,3130,44,885,180,705,56,186,131,106,335,217,285,558,116,174,124,38,106
"Debt > $30,000 (%)",8.9,7.7,15.9,6.3,4.4,3.3,D,D,D,6.6,2.7,D,11.6,15.6,11.2,17.2,12.9,15.8,20.8
"Debt > $70,000 (%)",4.7,4,D,3.2,D,1.1,0,9.7,0,D,D,D,6.7,8.6,5.2,D,5.6,D,13.2
Black or African American,,,,,,,,,,,,,,,,,,,
Total (number)a,2580,1570,D,319,D,204,D,230,21,D,92,277,285,1010,D,561,141,D,D
"Debt > $30,000 (%)",50.9,44.1,43.3,D,D,17.6,D,65.2,28.6,D,14.1,68.2,54,61.5,62.3,63.8,D,D,65.8
"Debt > $70,000 (%)",34.8,29.7,26.7,16.6,D,7.4,D,48.3,D,28.6,5.4,52.7,34.7,42.6,47.5,43.9,D,D,47.6
White,,,,,,,,,,,,,,,,,,,
Total (number)a,22206,16999,546,4427,459,2775,583,1143,626,496,2124,1911,1909,5207,367,1864,1727,408,841
"Debt > $30,000 (%)",17.2,14.4,16.5,10.3,7.8,6.3,6.9,34.7,4.2,12.5,4.7,33.9,21.6,26.7,19.3,30.1,23.7,25.7,28.8
"Debt > $70,000 (%)",9.6,7.7,7.9,4.9,3.9,2.3,D,18.9,1.1,6.5,2,21.9,D,15.7,13.1,17.1,14.1,16.4,16.6
More than one race,,,,,,,,,,,,,,,,,,,
Total (number)a,1283,1051,27,324,21,174,29,59,41,24,111,139,102,232,15,76,71,16,54
"Debt > $30,000 (%)",19.3,14.5,D,8.6,D,9.8,D,42.4,D,D,D,32.4,21.6,41.4,40,D,31,D,53.7
"Debt > $70,000 (%)",12.1,8.8,D,2.8,D,3.4,0,28.8,D,D,D,27.3,13.7,26.7,D,35.5,11.3,D,38.9
Other race or race not reported,,,,,,,,,,,,,,,,,,,
Total (number)a,330,244,3,57,10,D,4,16,11,6,D,31,38,86,8,19,33,8,18
"Debt > $30,000 (%)",19.1,17.6,66.7,12.3,0,8.6,0,56.3,9.1,16.7,3,38.7,18.4,23.3,12.5,47.4,15.2,12.5,22.2
"Debt > $70,000 (%)",11.2,D,0,7,0,0,0,D,9.1,0,0,29,5.3,D,12.5,31.6,D,0,11.1
Ethnicity not reported,,,,,,,,,,,,,,,,,,,
Total (number)a,166,121,4,21,8,17,2,15,2,8,11,15,18,45,4,19,13,6,3
"Debt > $30,000 (%)",19.3,19.8,0,4.8,12.5,23.5,0,60,0,0,0,40,16.7,17.8,0,31.6,7.7,16.7,0
"Debt > $70,000 (%)",14.5,16.5,0,0,12.5,23.5,0,53.3,0,0,0,26.7,16.7,8.9,0,10.5,7.7,16.7,0
