Table 8-15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Humanities research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,,
"(Number, percent, and median years)",,,,,,
Characteristic,All humanities fields,"English language and literature, letters","Foreign languages, literatures, and linguistics",History,Philosophy and religious studies,"Humanities, other"
All doctorate recipients (number)a,3358,1039,571,733,619,396
Sex (%),,,,,,
Male,51.5,40.4,40.8,55.1,64.1,69.9
Female,48.5,59.6,59.2,44.9,35.9,30.1
Unknown,0,0,0,0,0,0
Citizenship status (%),,,,,,
U.S. citizen or permanent resident,75.5,83.7,56.4,78.9,77.9,71.7
Temporary visa holder,18.5,11.9,35.9,16.4,17.3,16.4
Unknown,6,4.3,7.7,4.8,4.8,11.9
Marital status (%),,,,,,
Never married,28.6,30.6,34.3,28.2,27.6,16.9
Married,42.9,38.7,38,44.3,46.2,53
Marriage-like relationship,9.6,12.4,8.2,11.1,9.5,2
"Separated, divorced, widowed",4.5,4.6,4.6,5.2,4.2,3
Unknown,14.4,13.7,14.9,11.2,12.4,25
Has dependent age 18 or younger (%),26.5,21.3,21.5,24.8,28.5,50.3
Has one or more functional limitations (%),19,23.5,18.8,17.8,17.9,10.9
Age at doctorate (median years),34.8,34.3,34.7,34.5,34.4,38.4
Bachelor's in same field as doctorate (%)b,71.3,78.1,67.8,71.8,71.6,55.9
Master's earned (%),91.2,92.4,93.5,90.1,85.6,96.3
Master's earned at same doctorate institution (%),37.1,30.2,42.8,42.4,36.8,37.4
Time to doctorate (median years),,,,,,
Years since earning bachelor's degree,11.4,11.1,11.3,11.2,11.3,15
From graduate school start,9.8,9,9.3,9.7,9.8,12.3
From doctoral program startc,6.8,6.3,6.9,7,6.9,6.8
Received tuition remission (%),89.4,91.5,93.8,90.5,90.5,71.9
Male doctorate recipients (number),1731,420,233,404,397,277
Citizenship status (%),,,,,,
U.S. citizen or permanent resident,75,82.4,54.5,79.5,78.1,70
Temporary visa holder,18.3,12.9,37.3,15.6,17.4,15.9
Unknown,6.7,4.8,8.2,5,4.5,14.1
Marital status (%),,,,,,
Never married,27.6,31.2,38.2,27,29.2,11.9
Married,44.2,36.7,36.1,44.1,46.9,58.8
Marriage-like relationship,9.5,D,8.6,11.1,9.8,D
"Separated, divorced, widowed",3.2,D,3.4,5,3.5,D
Unknown,15.4,D,13.7,12.9,10.6,D
Has dependent age 18 or younger (%),30.3,23.1,20.9,26.9,28.9,61.3
Has one or more functional limitations (%),16.3,19.4,19.5,17.2,14.6,8.7
Age at doctorate (median years),35.1,34.5,35,34.6,34.6,39.1
Bachelor's in same field as doctorate (%)b,71.1,79.6,66.5,72.7,72.4,55.8
Master's earned (%),90.9,92.8,92.5,90.7,85.7,95.3
Master's earned at same doctorate institution (%),36.5,29,40.4,42,34.5,39.5
Time to doctorate (median years),,,,,,
Years since earning bachelor's degree,11.6,11.1,11.4,11,11.3,15.6
From graduate school start,9.8,9.3,9.4,9.3,9.9,12.8
From doctoral program startc,6.8,6.3,6.9,7,6.9,6.8
Received tuition remission (%),88.6,93.4,95.6,90,90.9,67
Female doctorate recipients (number),1627,619,338,329,222,119
Citizenship status (%),,,,,,
U.S. citizen or permanent resident,76.1,84.7,57.7,78.1,77.5,75.6
Temporary visa holder,18.7,11.3,34.9,17.3,17.1,17.6
Unknown,5.2,4,7.4,4.6,5.4,6.7
Marital status (%),,,,,,
Never married,29.6,30.2,31.7,29.8,24.8,28.6
Married,41.5,40.1,39.3,44.7,45,39.5
Marriage-like relationship,9.8,D,8,10.9,9,D
"Separated, divorced, widowed",5.8,D,5.3,5.5,5.4,D
Unknown,13.4,D,15.7,9.1,15.8,D
Has dependent age 18 or younger (%),22.5,20.1,22,22.3,27.8,28.3
Has one or more functional limitations (%),21.9,26.2,18.4,18.4,24.1,15.3
Age at doctorate (median years),34.5,34.3,34.3,34.5,34.3,37.8
Bachelor's in same field as doctorate (%)b,71.6,77.1,68.8,70.7,70,56.1
Master's earned (%),91.5,92.1,94.3,89.4,85.5,98.1
Master's earned at same doctorate institution (%),37.7,31,44.5,42.9,41.2,33.3
Time to doctorate (median years),,,,,,
Years since earning bachelor's degree,11.3,11.1,11.2,11.3,11.1,14.5
From graduate school start,9.3,9,9.3,9.8,9.7,11.8
From doctoral program startc,6.8,6.2,7,7.1,6.8,6.7
Received tuition remission (%),90.2,90.3,92.5,91.2,89.7,81.7
