Table 8-19,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Statistical profile of research doctorate recipients, by ethnicity, race, and citizenship status: 2023",,,,,,,,,,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,,,,,,,,,
Characteristic,Totala,U.S. citizen,Temp. visa holder,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
,,,,,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,More than one race,,Other race or race not reported,,,
,,,,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder
All doctorate recipients (number),57862,35566,19393,3449,1346,115,6,3828,12821,2725,721,23057,3148,1296,124,459,631,637,596
Primary source of support (%)b,,,,,,,,,,,,,,,,,,,
Teaching assistantships,21.2,19.7,23.8,18.3,24,10.9,0,18.1,23.6,11.4,29.1,21.2,23.6,18.1,23.5,19.7,24.1,20,23.1
Research or other assistantships or traineeshipsc,35.6,28.8,48.1,22.7,36.4,6.5,D,35.9,52.7,16.1,41.8,30.1,37.1,29.9,34.5,28,D,15.3,42
"Fellowships, scholarships, or dissertation grants",24.6,26.7,20.7,35.3,28.9,42.4,0,30.2,17.9,26.7,19.8,24.6,27.8,30.6,28.6,27.7,26.6,29.4,23.1
Own resources,14.7,20.4,4.1,20.5,3.1,32.6,D,12.5,4,40.8,7.1,19.4,4.1,17.5,D,21.7,D,29.4,7.7
Employer or other sources,4,4.4,3.3,3.2,7.6,7.6,0,3.4,1.7,4.9,2.2,4.7,7.4,3.9,10.1,2.9,9.4,5.9,4.2
Bachelor's in same field as doctorate (%)d,60.6,61.3,61.5,61.7,65.6,49.5,D,60,60.7,48.1,57,63.1,64.2,64.6,D,61.2,60,45.9,51.9
Master's earned (%),73.2,70.4,79.9,70.4,82.7,84.2,100,67.6,77,85.4,87.7,69.4,88.2,63.8,82.5,69.6,82.5,76.4,81.5
Master's earned at same doctorate institution (%),44.6,50,35.9,51.6,36.2,43,D,48.9,37.3,39.8,36.2,51.2,29.9,58,49,44.8,D,41.2,35.3
Marital status (%),,,,,,,,,,,,,,,,,,,
Not marriede,41.5,39.4,51.4,41.5,47.1,24.3,D,42.7,56.5,49.4,44.9,38.2,49.8,46.3,40.3,28.5,D,8.6,9.1
Married or in marriage-like relationship,46.5,53.4,40.7,50.8,49.1,54.8,D,51.9,40.3,42.9,50.8,56.8,46.9,51,55.6,39.2,D,12.4,9.7
Unknown,12,7.2,7.9,7.7,3.8,20.9,D,5.4,3.2,7.7,4.3,5,3.4,2.7,4,32.2,D,79,81.2
Has dependent age 18 or younger (%),19.2,21,15.7,19.7,16.7,35.2,0,19.3,12.9,30.9,41.7,20.6,19.6,16,25.8,19.9,20.7,24,20
Has one or more functional limitations (%),14.2,16.2,10.2,20.9,13.8,24.2,0,12.2,9.6,14.8,10,16.2,10.8,18.8,17.2,19.1,17.5,18.5,13.6
Age at doctorate (median years),31.4,31.6,31.2,31.9,33.3,36.2,D,31,30.6,35.4,34.3,31.4,32.3,30.7,31.3,32.5,D,32.3,32.1
Time to doctorate (median years),,,,,,,,,,,,,,,,,,,
Years since earning bachelor's degree,8.6,8.8,8.3,8.6,9.5,11.4,D,8.3,8,11.4,10.5,8.6,9.4,8,8.6,9.2,8.8,9.6,9
From graduate school start,7.2,7.1,7.3,7.3,7.9,8.8,D,7,7,9.7,7.9,7,8,6.8,7,7.6,7.3,8.1,7.7
From doctoral program startf,5.7,5.8,5.3,5.8,5.4,5.8,D,5.8,5.3,5.8,4.9,5.8,5.6,5.8,5.8,5.8,5.6,5.8,5.7
Received tuition remission (%),85.6,84.1,88.8,81.1,84.7,73.1,D,86.1,91.6,67.5,85.2,86.1,81.3,86,78.8,83.4,D,75.3,82.7
