Table 9-11,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Physical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,
(Number and percent),,,,,
Characteristic,All physical sciences fields,Astronomy and astrophysics,Chemistry,Materials sciences,Physics
Doctorate recipients reporting postgraduation status (number),4983,308,2472,374,1829
Definite postdoctoral training plans,34.8,62,29.5,23.5,39.7
Definite employment plans,38.4,18.8,43.6,46.3,33.1
Seeking employment or study,25.2,17.2,25.4,29.1,25.4
Other statusa,1.6,1.9,1.5,1.1,1.7
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,98.3,99.5,97.3,D,98.9
Other training or unknownc,1.7,0.5,2.7,D,1.1
Definite employment plans (%)d,,,,,
Academe,11.9,34.5,10.5,7.5,13.5
In tenure track faculty position (%),19.7,D,22.1,D,18.3
Not in tenure track position (%),75,D,74.3,D,75.6
Government,5.1,D,4.6,D,5.4
Industry or businesse,78.8,46.6,81.1,83.2,76.7
Nonprofit organization,2.7,D,2.3,D,3
Other or unknownf,1.5,3.4,1.5,1.7,1.3
Primary activityg,,,,,
Research and development,72.6,61.4,73.4,76.5,71.2
Teaching,8.5,D,8.4,D,D
Management or administration,0.7,D,0.9,D,D
Professional services and other,18.2,21.1,17.3,17.3,19.6
Secondary activityg,,,,,
Research and development,9.1,D,D,9.3,13.5
Teaching,1.2,0,D,D,1
Management or administration,16.5,D,20.3,D,9.7
Professional services and other,8.8,15.8,6.5,9.9,11.9
No secondary activity,64.4,57.9,65.9,58.6,63.8
Activity unknown,3.4,1.7,3.1,6.4,3.3
Postgraduation location (%)h,,,,,
United Statesi,91.7,85.1,94.6,94.6,88.4
Midwest,14.3,10.4,16.5,14.6,12
Northeast,24.1,18.9,26,19.5,23.3
South,20.4,21.7,21.6,15.7,19.6
West,32.4,33.7,30.3,42.9,33
Outside the United States,8.3,14.9,5.4,5.4,11.6
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),30.7,22.5,33.9,33.7,27.3
Male doctorate recipients reporting postgraduation status (number),3285,209,1398,238,1440
Definite postdoctoral training plans,36.8,61.7,32,26.9,39.5
Definite employment plans,36.6,19.6,41.8,42,33.1
Seeking employment or study,25.4,16.7,25,30.3,26.2
Other statusa,1.2,1.9,1.2,0.8,1.3
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,98.6,99.2,97.5,D,99.1
Other training or unknownc,1.4,0.8,2.5,D,0.9
Definite employment plans (%)d,,,,,
Academe,11.1,D,D,7,11.3
In tenure track faculty position (%),16.5,D,D,0,18.5
Not in tenure track position (%),76.7,81.8,75.4,85.7,75.9
Government,4.7,D,D,6,5.7
Industry or businesse,80.7,53.7,83.2,85,79
Nonprofit organization,1.7,D,D,0,2.7
Other or unknownf,1.7,4.9,1.9,2,1.3
Primary activityg,,,,,
Research and development,75.2,D,76,D,73.5
Teaching,7.8,D,D,D,D
Management or administration,0.6,0,D,0,D
Professional services and other,16.5,17.5,14.6,15.1,18.9
Secondary activityg,,,,,
Research and development,9.7,20,6,9.7,13.3
Teaching,1,0,D,D,D
Management or administration,16.2,D,D,19.4,10
Professional services and other,10.3,22.5,7.3,D,D
No secondary activity,62.8,52.5,63.9,57,63.5
Activity unknown,3.8,2.4,3.8,7,3.4
Postgraduation location (%)h,,,,,
United Statesi,90.4,84.1,93.5,95.7,87.6
Midwest,14.1,10.6,16.3,15.9,12.2
Northeast,23.8,20.6,26.3,20.1,22.5
South,19,18.8,20.3,14.6,18.5
West,33.2,33.5,30.6,43.3,34.2
Outside the United States,9.6,15.9,6.5,4.3,12.4
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),29.1,22.4,32,32.9,26.7
Female doctorate recipients reporting postgraduation status (number),1697,99,1073,136,389
Definite postdoctoral training plans,31,62.6,26.4,17.6,40.4
Definite employment plans,42,17.2,45.9,53.7,33.4
Seeking employment or study,24.8,18.2,25.9,27.2,22.6
Other statusa,2.2,2,1.9,1.5,3.6
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,97.7,D,96.8,D,98.1
Other training or unknownc,2.3,D,3.2,D,1.9
Definite employment plans (%)d,,,,,
Academe,13.3,D,D,8.2,21.5
In tenure track faculty position (%),24.2,D,D,D,17.9
Not in tenure track position (%),72.6,D,73.1,D,75
Government,5.6,D,D,D,4.6
Industry or businesse,75.7,29.4,78.5,80.8,68.5
Nonprofit organization,4.2,D,D,D,3.8
Other or unknownf,1.1,0,1,1.4,1.5
Primary activityg,,,,,
Research and development,68.3,D,70.3,D,62.7
Teaching,9.8,D,D,7.2,15.1
Management or administration,0.9,D,D,D,0
Professional services and other,21.1,29.4,20.6,20.3,22.2
Secondary activityg,,,,,
Research and development,8.1,D,D,8.7,14.3
Teaching,1.4,0,D,D,D
Management or administration,17.2,D,D,D,8.7
Professional services and other,6.3,0,5.6,D,D
No secondary activity,67,70.6,68.2,60.9,65.1
Activity unknown,2.7,0,2.2,5.5,3.1
Postgraduation location (%)h,,,,,
United Statesi,94.1,87.3,96,92.8,91.3
Midwest,14.8,10.1,16.8,12.4,11.5
Northeast,24.6,15.2,25.7,18.6,26.5
South,23.3,27.8,23.4,17.5,23.7
West,30.9,34.2,29.9,42.3,28.9
Outside the United States,5.9,12.7,4,7.2,8.7
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),33.8,22.8,36.4,35.1,29.3
