Table 9-19,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Postgraduation plans of research doctorate recipients, by ethnicity, race, and citizenship status: 2023",,,,,,,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,,,,,,
Characteristic,Totala,U.S. citizen,Temp. visa holder,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
,,,,,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,More than one race,,Other race or race not reported,,,
,,,,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder,U.S. citizen,Temp. visa holder
All doctorate recipients (number),52109,33702,18143,3255,1314,94,D,3697,12570,2597,709,22255,3079,1283,120,335,D,186,143
Definite postdoctoral training plans,26.9,25.4,29.8,27.3,31.1,21.3,D,24.8,30.2,17.5,22.4,25.9,30,32,D,20.3,24,17.2,25.9
Definite employment plans,46.6,46.9,46.1,43.9,42.5,59.6,D,44.8,46.7,53.4,46.4,47.1,44.7,41.9,D,44.2,48.5,52.7,56.6
Seeking employment or study,23.5,24.3,22.3,24.9,24.3,17,D,25.2,21.7,25.1,28.8,24,22.7,21.9,25.8,28.7,D,22,14
Other statusb,2.8,3.4,1.7,3.9,1.8,2.1,D,5.1,1.4,3.9,1.8,2.8,2.4,4.1,1.7,6.9,D,8.1,3.5
Definite employment plans (%)c,,,,,,,,,,,,,,,,,,,
Academe,35.8,38.6,30.5,39.7,45,51.8,D,28.7,26.6,38.9,37.7,39.9,38.1,39.8,55.3,38.5,D,35.7,30.9
In tenure track faculty position (%),44.5,35.7,65.7,40.4,62.5,37.9,D,47.9,67.8,39,66.1,33.1,61,37.4,73.1,38.6,D,25.7,52
Not in tenure track position (%),53,62.6,30.2,57.8,34.3,58.6,D,50.4,28.7,58.4,32.3,65.3,33.3,60.3,23.1,56.1,D,74.3,32
Government,7,9.2,3,9.4,5.9,8.9,D,7.5,2.2,11.9,4.3,9.1,4.5,8,D,6.8,D,12.2,3.7
Industry or businessd,45.1,36.6,61.2,33.9,41,21.4,D,52.8,66.8,25.1,49.2,35.9,50.2,39.6,40.4,39.9,D,30.6,51.9
Nonprofit organization,6.4,8,3.5,7.8,5.9,8.9,D,7.3,3,11.4,6.1,7.6,4.6,8.9,0,4.7,D,6.1,2.5
Other or unknowne,5.6,7.6,1.8,9.2,2.2,8.9,D,3.6,1.4,12.7,2.7,7.4,2.5,3.7,0,10.1,D,15.3,11.1
Postgraduation location (%)f,,,,,,,,,,,,,,,,,,,
United States,92.4,98.6,80.9,99,74.6,100,D,97.9,84.6,99.3,84.8,98.6,69,98,53.2,97.3,D,96.9,79
Outside the United States,7.5,1.4,19.1,1,25.3,0,D,2.1,15.3,0.6,15.2,1.4,30.9,2,D,2.7,37.4,3.1,21
Location unknown,0.1,*,0.1,0,0.2,0,D,0,0.1,0.1,0,*,0.1,0,0,0,D,0,0
Postgraduation location in same state as doctorate institution (%),24.9,31.4,13.6,32,15.8,43.4,D,28.9,12.8,36.9,15.8,31.3,15.6,25.9,14.9,30.1,D,33.8,11.9
